draw,regimen,exposure,censored,final,rank
50,20(S)-Rg3,4.789,0.0,0.1464354527938343,2
50,Curcumin,6.267,0.0,0.14258188824662812,3
50,SAC+Eupatilin,15.627,0.0,0.0,8
50,Eupatilin+Rg3,8.01,0.0,0.0,4
50,SAC+Rg3+Curcumin,12.496,0.0,0.0,7
50,Gemcitabine,11.349,1.0,0.0,1
51,SAC,6.104,0.0,0.8004073319755601,3
51,Eupatilin,28.355,0.0,1.4582484725050917,7
51,20(S)-Rg3,3.3,0.0,0.0,2
51,Curcumin,18.126,0.0,0.9979633401221996,6
51,SAC+Eupatilin,30.295,0.0,0.5458248472505092,8
51,Eupatilin+Rg3,9.961,0.0,0.0,4
51,SAC+Rg3+Curcumin,11.492,0.0,0.010183299389002037,5
51,Gemcitabine,20.482,1.0,0.0,1
52,SAC,9.754,0.0,1.9640591966173362,4
52,Eupatilin,9.931,0.0,1.8879492600422834,5
52,20(S)-Rg3,6.363,0.0,0.07610993657505286,2
52,Curcumin,11.821,0.0,1.3107822410147991,6
52,SAC+Eupatilin,19.685,0.0,1.3678646934460887,8
52,Eupatilin+Rg3,7.794,0.0,0.0,3
52,SAC+Rg3+Curcumin,18.644,0.0,0.5581395348837209,7
52,Gemcitabine,5.837,1.0,0.046511627906976744,1
53,SAC,17.92,0.0,1.2401656314699794,7
53,Eupatilin,15.413,0.0,1.1325051759834368,6
53,20(S)-Rg3,8.677,0.0,0.0,3
53,Curcumin,8.508,0.0,0.7287784679089027,2
53,SAC+Eupatilin,21.805,0.0,0.2732919254658385,8
53,Eupatilin+Rg3,11.511,0.0,0.0,4
53,SAC+Rg3+Curcumin,13.973,0.0,0.0,5
53,Gemcitabine,41.384,1.0,0.0,1
54,SAC,9.764,0.0,1.3178947368421052,2
54,Eupatilin,9.19,0.0,0.5557894736842105,1
54,20(S)-Rg3,12.791,0.0,0.9157894736842105,3
54,Curcumin,22.373,0.0,2.0189473684210526,6
54,SAC+Eupatilin,17.547,0.0,0.5010526315789474,4
54,Eupatilin+Rg3,21.793,0.0,0.671578947368421,5
54,SAC+Rg3+Curcumin,24.897,0.0,0.002105263157894737,7
54,Gemcitabine,68.385,0.0,0.0,8
55,SAC,7.301,0.0,1.7398058252427184,2
55,Eupatilin,8.993,0.0,0.48349514563106794,3
55,20(S)-Rg3,16.016,0.0,0.6407766990291263,4
55,Curcumin,16.302,0.0,1.5611650485436894,5
55,SAC+Eupatilin,18.147,0.0,0.8912621359223301,6
55,Eupatilin+Rg3,18.269,0.0,0.0,7
